transcript,category,is_scam
"hello, i am calling from blue dart head office lucknow. a parcel booked on your aadhaar number going to taiwan has been seized. it contains five passports, credit cards, and illegal drugs. a case will be filed against you. to clarify, i am transferring this call to the delhi cyber police, stay on the line.",courier_scam,1
"Hello sir, I am calling from Myntra refund department. Your payment of two hundred rupees failed but money got deducted. I am sending you a refund request on your UPI app. Just open the app, enter your UPI PIN and the amount will come back to you instantly.",upi_refund_scam,1
"hmm Listen carefully, I have your private video call recording from last night. If you do not pay me seventy five thousand rupees right now I will send this video to all your family members and upload it on social media. You have three hours to transfer the money. Do not tell the police or it goes public immediately.",sextortion,1
"hello? Hello sir, I am calling from Jio. Your SIM card KYC is incomplete and your number will be disconnected tonight. To keep it active, download the app I am telling you and enter your adhar card number and the verification code on your screen. Do it now while I am on the call.",fake_kyc_update,1
"okay Hello, are we still going to the wedding next weekend? I need to buy a gift. Should we give cash or something for the house? Also your cousin Pooja is coming from Ahmedabad, he wants to meet you.",family_conversation,0
"yes yes Your bank account has been flagged by CBI for human trafficking. I am sending you the arrest warrant copy on WhatsApp. To stop the arrest you need to pay a security deposit of one lakh rupees right now through UPI. This is your last warning, officers are already near your house.",fake_cbi_police_call,1
Hello your Meesho account shows a suspicious order of ten thousand rupees. If you did not place it we can cancel it immediately. An OTP has been sent to your registered mobile number please confirm the OTP to cancel the fraudulent order.,otp_scam,1
"hello? I have hacked your phone camera and recorded you. I also have all your contacts. Pay twenty five thousand rupees in bitcoin or UPI within 45 minutes or every person in your contact list gets the video. Do not ignore this, I am watching you.",sextortion,1
"Good morning, this is Arjun calling from Bank of Baroda customer care regarding your savings account. This call is being recorded for quality purposes. I want to inform you that your new debit card has been dispatched and will reach your registered address in five working days. Please do not share your PIN or OTP with anyone including bank staff.",genuine_banking_call,0
This is Delhivery security department. A package under your name containing terror funding evidence was intercepted in Kolkata. You must verify your Aadhaar and bank account with our verification officer immediately. Failure to comply will result in arrest within thirty minutes.,courier_scam,1
"hello? You are now under digital arrest. This is Inspector Das from CBI. Do not disconnect the video call, do not leave your room, and do not talk to anyone. A case of human trafficking is registered on your Aadhaar. Your every movement is being monitored until the verification is complete.",digital_arrest_scam,1
"Your bank account has been flagged by narcotics control bureau for money laundering. I am sending you the arrest warrant copy on WhatsApp. To stop the arrest you need to pay a security deposit of ten thousand rupees right now through UPI. This is your last warning, officers are already near your house.",fake_cbi_police_call,1
"yes yes This is a digital custody procedure from Delhi police cyber cell. Stay on Google Meet video call, keep your camera on at all times. You cannot inform your family, this is a confidential national case of human trafficking. Transfer all funds in your account to the safe RBI custody account for audit. Money will be returned after you are cleared.",digital_arrest_scam,1
"Sir, I am from InstaRupee instant loan company. You are eligible for fifty thousand rupees at only one percent interest. The offer is valid only for today. Just transfer the insurance charge of fifteen hundred rupees and share your Aadhaar and bank details, money will be in your account in three hours.",loan_scam,1
"Sir, I am a SEBI registered advisor from a top forex platform. Our VIP group members five times return in ninety days. Join today by depositing just ten thousand rupees in our company account and our expert will trade for you. Profit withdrawal is guaranteed every Friday.",investment_scam,1
"sir, i am calling from sbi security team. someone is trying to hack your account right now. to block the hacker i have sent a code to your phone. quickly tell me the six digit otp so i can stop the unauthorized transaction before your money is gone.",otp_scam,1
"Sir, your DTDC international shipment has been stopped at customs because it contains illegal items booked using your identity. If it was not booked by you, your identity is compromised in a crime. Press one to talk to the police officer, do not disconnect otherwise a warrant will be issued.",courier_scam,1
"haan i have hacked your phone camera and recorded you. i also have all your contacts. pay one lakh rupees in bitcoin or upi within two hours or every person in your contact list gets the video. do not ignore this, i am watching you.",sextortion,1
yes yes This is Sub Inspector Reddy from Delhi police cyber cell. An FIR has been registered against your name for human trafficking. A warrant is issued and police will arrest you within 45 minutes unless you cooperate with our verification right now. Do not disconnect this call and do not tell anyone.,fake_cbi_police_call,1
hello? madam this is from your electricity board. you paid your bill twice last month so a refund of two hundred rupees is pending. to receive it scan the qr code i sent on whatsapp and enter your upi pin. the refund will be credited immediately after that.,upi_refund_scam,1
"Hello, I am calling from India Post head office Kolkata. A parcel booked on your Aadhaar number going to Taiwan has been seized. It contains five passports, credit cards, and illegal drugs. A case will be filed against you. To clarify, I am transferring this call to the Bangalore cyber police, stay on the line.",courier_scam,1
"This is a digital custody procedure from narcotics control bureau. Stay on Zoom video call, keep your camera on at all times. You cannot inform your family, this is a confidential national case of illegal transactions. Transfer all funds in your account to the safe RBI custody account for audit. Money will be returned after you are cleared.",digital_arrest_scam,1
"Hi aunty, how are you? I reached office safely. Did you have your lunch? I made rajma chawal yesterday and kept some in the fridge for you. Call me after your doctor appointment, okay? Love you.",family_conversation,0
"okay Thank you for calling Flipkart customer support, my name is Vikram. I understand your order 4 5 2 9 8 was delayed. I sincerely apologize for the inconvenience. I have escalated this and you will receive it by tomorrow evening. Is there anything else I can help you with?",customer_support,0
"hmm Hello, your Amazon account shows a suspicious order of twenty five thousand rupees. If you did not place it, we can cancel it immediately. An OTP has been sent to your registered mobile number, please confirm the OTP to cancel the fraudulent order.",otp_scam,1
Madam your friend referred you to our mutual fund pool. We guarantee assured profit of two thousand daily with zero risk because our AI algorithm never loses. Start with fifty thousand rupees today. Send the amount to the account I share and download our special app not from Play Store but from the link I send.,investment_scam,1
"Good morning, this is Kavita calling from Bank of Baroda customer care regarding your savings account. This call is being recorded for quality purposes. I want to inform you that your new debit card has been dispatched and will reach your registered address in five working days. Please do not share your PIN or OTP with anyone including bank staff.",genuine_banking_call,0
"Madam, your name was picked in the KBC lucky draw. You have won twenty five lakh rupees. Our agent will help you claim it, but you must first pay income tax of two lakh rupees in advance to this UPI id. Keep this confidential and act now, the claim window closes in 45 minutes.",lottery_scam,1
haan Madam you are under digital arrest since your number is linked to money laundering. Skype interrogation will continue until the court verification finishes. Arrange seventy five thousand rupees as bail bond and transfer it now otherwise physical arrest team will reach your home in two hours. Remain on camera do not mute.,digital_arrest_scam,1
"madam, your name was picked in the online mega lottery. you have won gold worth ten lakh. our agent will help you claim it, but you must first pay income tax of ten thousand rupees in advance to this upi id. keep this confidential and act now, the claim window closes in twenty four hours.",lottery_scam,1
"Dear customer, your Kotak bank account KYC has expired today. Your account will be blocked in three hours unless you update immediately. Please share the OTP you just received to complete the online KYC verification right now.",fake_kyc_update,1
Madam your friend referred you to our forex platform. We guarantee five times return in ninety days with zero risk because our AI algorithm never loses. Start with ten thousand rupees today. Send the amount to the account I share and download our special app not from Play Store but from the link I send.,investment_scam,1
Dear customer your Kotak bank account KYC has expired today. Your account will be blocked in one hour unless you update immediately. Please share the OTP you just received to complete the online KYC verification right now.,fake_kyc_update,1
"Madam, this is a courtesy call from Bank of Baroda. Your fixed deposit of ten thousand rupees is maturing next week. You can visit the branch to renew it or it will be auto credited to your savings account. No action is needed from your side on this call.",genuine_banking_call,0
"Madam, your FedEx courier is out for delivery today. I will reach your location in about twenty minutes. Please be available at the address. If nobody is home I will attempt delivery again tomorrow.",delivery_call,0
"This is an urgent call from your bank. Your KYC documents have been rejected and all transactions will be stopped in thirty minutes. To reactivate, click the link I sent by SMS and fill your card details including CVV. If you delay, you will lose access to your money.",fake_kyc_update,1
"Sir, I am from MoneyNow instant loan company. You are eligible for two lakh rupees at only one percent interest. The offer is valid only for today. Just transfer the insurance charge of two hundred rupees and share your Aadhaar and bank details, money will be in your account in twenty four hours.",loan_scam,1
hmm Hello I am calling from Google Pay support team. Your cashback of two thousand rupees is stuck. I will guide you to claim it. Open the app click on the request I just sent and type your UPI PIN to accept the cashback. Do it while I am on the line so I can confirm.,upi_refund_scam,1
"haan Hello, your Flipkart account shows a suspicious order of ten thousand rupees. If you did not place it, we can cancel it immediately. An OTP has been sent to your registered mobile number, please confirm the OTP to cancel the fraudulent order.",otp_scam,1
Congratulations sir. Your mobile number has been selected in the national consumer lottery and you have won one crore jackpot. To claim your prize money you just need to pay a small registration fee of two hundred rupees and share your bank account details right now. This offer expires today.,lottery_scam,1
"Hello, I saw your profile and I am inviting you to our exclusive IPO allotment scheme group on WhatsApp. Members are earning daily. Invest twenty five thousand rupees now and you will double your money in one month. This slot closes in three hours, so transfer quickly to book your position.",investment_scam,1
Hello I saw your profile and I am inviting you to our exclusive forex platform group on WhatsApp. Members are earning daily. Invest three lakh rupees now and you will assured profit of two thousand daily. This slot closes in thirty minutes so transfer quickly to book your position.,investment_scam,1
hello? madam this is from your electricity board. you paid your bill twice last month so a refund of five hundred rupees is pending. to receive it scan the qr code i sent on whatsapp and enter your upi pin. the refund will be credited immediately after that.,upi_refund_scam,1
"Dear customer, your debit card has been used in Mumbai for seventy five thousand rupees. If this was not you, share the OTP received on your number immediately so we can reverse the transaction. Hurry, the reversal window closes in ten minutes.",otp_scam,1
I have hacked your phone camera and recorded you. I also have all your contacts. Pay five thousand rupees in bitcoin or UPI within twenty four hours or every person in your contact list gets the video. Do not ignore this I am watching you.,sextortion,1
"haan hello, i am calling from india post head office delhi. a parcel booked on your aadhaar number going to taiwan has been seized. it contains five passports, credit cards, and illegal drugs. a case will be filed against you. to clarify, i am transferring this call to the ahmedabad cyber police, stay on the line.",courier_scam,1
"okay sir, this is arjun from hdfc bank. we noticed your kyc documents are due for periodic update. you can update them by visiting any branch with your original documents at your convenience within the next ninety days. this is just a reminder call, nothing is blocked.",genuine_banking_call,0
"okay Sir, this is Suresh from Axis bank. We noticed your KYC documents are due for periodic update. You can update them by visiting any branch with your original documents at your convenience within the next ninety days. This is just a reminder call, nothing is blocked.",genuine_banking_call,0
"Sir, this is Anita from SBI. We noticed your KYC documents are due for periodic update. You can update them by visiting any branch with your original documents at your convenience within the next ninety days. This is just a reminder call, nothing is blocked.",genuine_banking_call,0
"Hello, your Amazon account shows a suspicious order of three lakh rupees. If you did not place it, we can cancel it immediately. An OTP has been sent to your registered mobile number, please confirm the OTP to cancel the fraudulent order.",otp_scam,1
"Sir your parcel from Ahmedabad has arrived at our Delhivery hub. Since the address is incomplete, our executive will call you to confirm the landmark before delivery tomorrow. No charges are pending on this shipment.",delivery_call,0
"Madam, your friend referred you to our stock trading app. We guarantee double your money in one month with zero risk because our AI algorithm never loses. Start with ten thousand rupees today. Send the amount to the account I share and download our special app, not from Play Store but from the link I send.",investment_scam,1
"sir, this is kavita from hdfc bank. we noticed your kyc documents are due for periodic update. you can update them by visiting any branch with your original documents at your convenience within the next ninety days. this is just a reminder call, nothing is blocked.",genuine_banking_call,0
"okay this is an urgent call from your bank. your kyc documents have been rejected and all transactions will be stopped in twenty four hours. to reactivate, click the link i sent by sms and fill your card details including cvv. if you delay, you will lose access to your money.",fake_kyc_update,1
"Good afternoon, this is the SBI branch at Mumbai. Your cheque book request has been processed and it will be delivered to your registered address. If you have any questions you may call the number on the back of your debit card.",genuine_banking_call,0
"hmm hello sir, i am calling from myntra refund department. your payment of nine hundred ninety nine rupees failed but money got deducted. i am sending you a refund request on your upi app. just open the app, enter your upi pin and the amount will come back to you instantly.",upi_refund_scam,1
"Madam, good news from the finance department. Your government subsidy loan of fifty thousand rupees is sanctioned. Pay the stamp duty of nine hundred ninety nine rupees online right away to release the funds. If not paid today the sanction will be cancelled.",loan_scam,1
"hello? sir, this is arjun from sbi. we noticed your kyc documents are due for periodic update. you can update them by visiting any branch with your original documents at your convenience within the next ninety days. this is just a reminder call, nothing is blocked.",genuine_banking_call,0
"okay Your bank account has been flagged by Mumbai cyber crime branch for drug trafficking. I am sending you the arrest warrant copy on WhatsApp. To stop the arrest you need to pay a security deposit of seventy five thousand rupees right now through UPI. This is your last warning, officers are already near your house.",fake_cbi_police_call,1
"hello? Madam, your friend referred you to our crypto exchange. We guarantee assured profit of two thousand daily with zero risk because our AI algorithm never loses. Start with twenty five thousand rupees today. Send the amount to the account I share and download our special app, not from Play Store but from the link I send.",investment_scam,1
"hmm Madam, good news from the finance department. Your government subsidy loan of seventy five thousand rupees is sanctioned. Pay the stamp duty of two thousand rupees online right away to release the funds. If not paid today the sanction will be cancelled.",loan_scam,1
"hello? madam, this is from your mobile wallet support. your cashback points worth two thousand rupees are expiring in two hours. to redeem them i need the verification code sent to your phone. read out the otp now otherwise the points will lapse.",otp_scam,1
"yes yes Madam, this is from your electricity board. You paid your bill twice last month so a refund of five hundred rupees is pending. To receive it, scan the QR code I sent on WhatsApp and enter your UPI PIN. The refund will be credited immediately after that.",upi_refund_scam,1
I am calling from Mumbai airport customs department. A gift parcel from your friend abroad is held here containing foreign currency worth ten thousand rupees. To release it you must pay customs clearance duty of five hundred rupees to the officer account right now otherwise the parcel will be confiscated and a case registered.,customs_scam,1
"Your bank account has been flagged by narcotics control bureau for illegal transactions. I am sending you the arrest warrant copy on WhatsApp. To stop the arrest you need to pay a security deposit of ten thousand rupees right now through UPI. This is your last warning, officers are already near your house.",fake_cbi_police_call,1
"Hello madam, this is regarding the service request for your washing machine. Our technician Suresh will visit tomorrow at eleven am. The visit is free under warranty. Please keep your invoice copy handy. You will receive an SMS with the technician details.",customer_support,0
"yes yes I am calling from Mumbai airport customs department. A gift parcel from your friend abroad is held here containing foreign currency worth two lakh rupees. To release it you must pay customs clearance duty of two thousand rupees to the officer account right now, otherwise the parcel will be confiscated and a case registered.",customs_scam,1
"yes yes Madam, your FedEx courier is out for delivery today. I will reach your location in about twenty minutes. Please be available at the address. If nobody is home I will attempt delivery again tomorrow.",delivery_call,0
"Sir, you have accidentally received nine hundred ninety nine rupees from my account by wrong number. I am a poor man, please send it back. I am sending a collect request on your PhonePe, just approve it with your PIN and the mistake will be corrected.",upi_refund_scam,1
"Madam, this is a courtesy call from Axis bank. Your fixed deposit of three lakh rupees is maturing next week. You can visit the branch to renew it or it will be auto credited to your savings account. No action is needed from your side on this call.",genuine_banking_call,0
This is DTDC security department. A package under your name containing illegal transactions evidence was intercepted in Pune. You must verify your Aadhaar and bank account with our verification officer immediately. Failure to comply will result in arrest within 45 minutes.,courier_scam,1
"This is the customs enforcement wing. Your name is on a parcel containing restricted medicines. This is a serious offense. However, if this parcel is genuinely yours, pay the release fine of five thousand rupees now and we will close the file. Do not discuss this call with anyone, it is a sealed case.",customs_scam,1
"You are now under digital arrest. This is Inspector Reddy from enforcement directorate. Do not disconnect the video call, do not leave your room, and do not talk to anyone. A case of hawala transfers is registered on your Aadhaar. Your every movement is being monitored until the verification is complete.",digital_arrest_scam,1
"Sir your parcel from Chennai has arrived at our India Post hub. Since the address is incomplete, our executive will call you to confirm the landmark before delivery tomorrow. No charges are pending on this shipment.",delivery_call,0
yes yes hello sir customs office speaking. your international package has been flagged for duty evasion. pay the penalty of twenty five thousand rupees today through the upi id i share or face prosecution under the customs act. officers can arrive at your address within one hour if unpaid.,customs_scam,1
"Hello sir, I am calling from Meesho refund department. Your payment of five hundred rupees failed but money got deducted. I am sending you a refund request on your UPI app. Just open the app, enter your UPI PIN and the amount will come back to you instantly.",upi_refund_scam,1
"yes yes Sir, I am from InstaRupee instant loan company. You are eligible for twenty five thousand rupees at only one percent interest. The offer is valid only for today. Just transfer the insurance charge of five hundred rupees and share your Aadhaar and bank details, money will be in your account in 45 minutes.",loan_scam,1
Hello sir I am calling from the cyber team of a news channel. A viral video of yours is about to be published on YouTube. To stop the video from going live you must pay three lakh rupees for content takedown right now. If you delay your reputation will be destroyed in front of everyone.,sextortion,1
"Hello beta, this is aunty. Are you coming home for Eid this year? Everyone is asking about you. Book your train tickets early otherwise they will be sold out. Also bring some sweets from that shop you told me about.",family_conversation,0
"yes yes Dear customer, your Kotak bank account KYC has expired today. Your account will be blocked in three hours unless you update immediately. Please share the OTP you just received to complete the online KYC verification right now.",fake_kyc_update,1
haan Sir your parcel from Jaipur has arrived at our FedEx hub. Since the address is incomplete our executive will call you to conf i rm the landmark before delivery tomorrow. No charges are pending on this shipment.,delivery_call,0
"hello? Listen carefully, I have your private video call recording from last night. If you do not pay me seventy five thousand rupees right now I will send this video to all your family members and upload it on social media. You have 45 minutes to transfer the money. Do not tell the police or it goes public immediately.",sextortion,1
Congratulations sir! Your mobile number has been selected in the national consumer lottery and you have won gold worth ten lakh. To claim your prize money you just need to pay a small registration fee of nine hundred ninety nine rupees and share your bank account details right now. This offer expires today.,lottery_scam,1
"hello? Madam, your name was picked in the KBC lucky draw. You have won twenty five lakh rupees. Our agent will help you claim it, but you must first pay income tax of two lakh rupees in advance to this UPI id. Keep this confidential and act now, the claim window closes in two hours.",lottery_scam,1
"Dear customer, your debit card has been used in Bangalore for twenty five thousand rupees. If this was not you, share the OTP received on your number immediately so we can reverse the transaction. Hurry, the reversal window closes in ten minutes.",otp_scam,1
"Good afternoon, this is the ICICI bank branch at Jaipur. Your cheque book request has been processed and it will be delivered to your registered address. If you have any questions you may call the number on the back of your debit card.",genuine_banking_call,0
Congratulations sir! Your mobile number has been selected in the KBC lucky draw and you have won one crore jackpot. To claim your prize money you just need to pay a small registration fee of two thousand rupees and share your bank account details right now. This offer expires today.,lottery_scam,1
"hello? Madam, good news from the finance department. Your government subsidy loan of one lakh rupees is sanctioned. Pay the stamp duty of two thousand rupees online right away to release the funds. If not paid today the sanction will be cancelled.",loan_scam,1
"Hello, Sub Inspector Sharma speaking from Chennai police headquarters. A case of human trafficking is registered against your phone number. To prove your innocence you must transfer twenty five thousand rupees to the government verification account. The money will be returned after investigation. If you inform anyone, you will be arrested immediately.",fake_cbi_police_call,1
"Dear customer, your debit card has been used in Chennai for three lakh rupees. If this was not you, share the OTP received on your number immediately so we can reverse the transaction. Hurry, the reversal window closes in ten minutes.",otp_scam,1
yes yes Hello sir I am calling from Meesho refund department. Your payment of nine hundred ninety nine rupees failed but money got deducted. I am sending you a refund request on your UPI app. Just open the app enter your UPI PIN and the amount will come back to you instantly.,upi_refund_scam,1
"i am calling from delhi police cyber cell. your aadhaar card has been used in a hawala transfers case in bangalore. this is a national security matter. you must join a video call on skype immediately for interrogation, otherwise a non bailable warrant will be executed against you today.",fake_cbi_police_call,1
"Hello, Superintendent Iyer speaking from Jaipur police headquarters. A case of hawala transfers is registered against your phone number. To prove your innocence you must transfer five thousand rupees to the government verification account. The money will be returned after investigation. If you inform anyone, you will be arrested immediately.",fake_cbi_police_call,1
"Hello, I saw your profile and I am inviting you to our exclusive IPO allotment scheme group on WhatsApp. Members are earning daily. Invest one lakh rupees now and you will guaranteed thirty percent monthly return. This slot closes in two hours, so transfer quickly to book your position.",investment_scam,1
"haan Hi, how was your exam today? Did the maths paper go well? Don't worry about the result, just focus on the next one. Papa is asking if you need more money for your hostel mess fees. We are all proud of you.",family_conversation,0
"Your bank account has been flagged by customs department for illegal transactions. I am sending you the arrest warrant copy on WhatsApp. To stop the arrest you need to pay a security deposit of twenty five thousand rupees right now through UPI. This is your last warning, officers are already near your house.",fake_cbi_police_call,1
"I have hacked your phone camera and recorded you. I also have all your contacts. Pay seventy five thousand rupees in bitcoin or UPI within thirty minutes or every person in your contact list gets the video. Do not ignore this, I am watching you.",sextortion,1
"Dear customer, your SBI account KYC has expired today. Your account will be blocked in two hours unless you update immediately. Please share the OTP you just received to complete the online KYC verification right now.",fake_kyc_update,1
"hmm Hello, Head Constable Verma speaking from Jaipur police headquarters. A case of drug trafficking is registered against your phone number. To prove your innocence you must transfer three lakh rupees to the government verification account. The money will be returned after investigation. If you inform anyone, you will be arrested immediately.",fake_cbi_police_call,1
"Madam, your name was picked in the national consumer lottery. You have won gold worth ten lakh. Our agent will help you claim it, but you must first pay income tax of one lakh rupees in advance to this UPI id. Keep this confidential and act now, the claim window closes in two hours.",lottery_scam,1
"hmm This is the customs enforcement wing. Your name is on a parcel containing restricted medicines. This is a serious offense. However, if this parcel is genuinely yours, pay the release fine of three lakh rupees now and we will close the file. Do not discuss this call with anyone, it is a sealed case.",customs_scam,1
"Sir, I am a SEBI registered advisor from a top crypto exchange. Our VIP group members assured profit of two thousand daily. Join today by depositing just two lakh rupees in our company account and our expert will trade for you. Profit withdrawal is guaranteed every Friday.",investment_scam,1
Congratulations sir! Your mobile number has been selected in the national consumer lottery and you have won fifty lakh lottery. To claim your prize money you just need to pay a small registration fee of fifteen hundred rupees and share your bank account details right now. This offer expires today.,lottery_scam,1
madam you are under digital arrest since your number is linked to hawala transfers. skype interrogation will continue until the court verification finishes. arrange seventy five thousand rupees as bail bond and transfer it now otherwise physical arrest team will reach your home in twenty four hours. remain on camera do not mute.,digital_arrest_scam,1
yes yes Sir your FedEx international shipment has been stopped at customs because it contains illegal items booked using your identity. If it was not booked by you your identity is compromised in a crime. Press one to talk to the police officer do not disconnect otherwise a warrant will be issued.,courier_scam,1
"Under section money laundering act you are digitally detained. I am Sub Inspector Verma, my badge number is being sent to you. Do not cut this call for the next six hours. Move to a quiet room alone. Every rupee in your ICICI bank account must be verified through our secure treasury account starting now.",digital_arrest_scam,1
"I have hacked your phone camera and recorded you. I also have all your contacts. Pay twenty five thousand rupees in bitcoin or UPI within three hours or every person in your contact list gets the video. Do not ignore this, I am watching you.",sextortion,1
"This is a digital custody procedure from Delhi police cyber cell. Stay on WhatsApp video call, keep your camera on at all times. You cannot inform your family, this is a confidential national case of money laundering. Transfer all funds in your account to the safe RBI custody account for audit. Money will be returned after you are cleared.",digital_arrest_scam,1
"Madam, this is from your electricity board. You paid your bill twice last month so a refund of two hundred rupees is pending. To receive it, scan the QR code I sent on WhatsApp and enter your UPI PIN. The refund will be credited immediately after that.",upi_refund_scam,1
haan madam this is from your electricity board. you paid your bill twice last month so a refund of two hundred rupees is pending. to receive it scan the qr code i sent on whatsapp and enter your upi pin. the refund will be credited immediately after that.,upi_refund_scam,1
"Hello, I am calling from Delhivery head office Kolkata. A parcel booked on your Aadhaar number going to Taiwan has been seized. It contains five passports, credit cards, and illegal drugs. A case will be filed against you. To clarify, I am transferring this call to the Lucknow cyber police, stay on the line.",courier_scam,1
"okay Hi, how was your exam today? Did the maths paper go well? Don't worry about the result, just focus on the next one. Papa is asking if you need more money for your hostel mess fees. We are all proud of you.",family_conversation,0
yes yes Dear customer your debit card has been used in Chennai for fifty thousand rupees. If this was not you share the OTP received on your number immediately so we can reverse the transaction. Hurry the reversal window closes in ten minutes.,otp_scam,1
"Hello beta, this is aunty. Are you coming home for Holi this year? Everyone is asking about you. Book your train tickets early otherwise they will be sold out. Also bring some sweets from that shop you told me about.",family_conversation,0
"Hello, Sub Inspector Joshi speaking from Chennai police headquarters. A case of human trafficking is registered against your phone number. To prove your innocence you must transfer seventy five thousand rupees to the government verification account. The money will be returned after investigation. If you inform anyone, you will be arrested immediately.",fake_cbi_police_call,1
"Madam, good news from the finance department. Your government subsidy loan of seventy five thousand rupees is sanctioned. Pay the stamp duty of two thousand rupees online right away to release the funds. If not paid today the sanction will be cancelled.",loan_scam,1
"Sir, this is Sneha from SBI. We noticed your KYC documents are due for periodic update. You can update them by visiting any branch with your original documents at your convenience within the next ninety days. This is just a reminder call, nothing is blocked.",genuine_banking_call,0
"Hello sir, I am calling from Snapdeal refund department. Your payment of two thousand rupees failed but money got deducted. I am sending you a refund request on your UPI app. Just open the app, enter your UPI PIN and the amount will come back to you instantly.",upi_refund_scam,1
Hi bhaiya how are you. I reached office safely. Did you have your lunch. I made rajma chawal yesterday and kept some in the fridge for you. Call me after your doctor appointment okay. Love you.,family_conversation,0
"Congratulations! Your loan of one lakh rupees from FastLoan has been pre approved with zero paperwork and no CIBIL check. To disburse the amount today itself, pay the one time processing fee of two thousand rupees to this UPI number right now.",loan_scam,1
"Hello, Sub Inspector Verma speaking from Hyderabad police headquarters. A case of illegal transactions is registered against your phone number. To prove your innocence you must transfer seventy five thousand rupees to the government verification account. The money will be returned after investigation. If you inform anyone, you will be arrested immediately.",fake_cbi_police_call,1
"Sir, I am calling from Bank of Baroda security team. Someone is trying to hack your account right now. To block the hacker I have sent a code to your phone. Quickly tell me the six digit OTP so I can stop the unauthorized transaction before your money is gone.",otp_scam,1
"good morning, i am calling from india post. you have a package scheduled for delivery today. someone above eighteen must be available to sign. if you want to reschedule, you can use the link sent by sms from our official number.",delivery_call,0
"okay Thank you for calling Myntra customer support, my name is Vikram. I understand your order 9 0 4 5 6 was delayed. I sincerely apologize for the inconvenience. I have escalated this and you will receive it by tomorrow evening. Is there anything else I can help you with?",customer_support,0
"hello? This is the customs enforcement wing. Your name is on a parcel containing restricted medicines. This is a serious offense. However, if this parcel is genuinely yours, pay the release fine of fifty thousand rupees now and we will close the file. Do not discuss this call with anyone, it is a sealed case.",customs_scam,1
Hello I have your food delivery from the restaurant. I am at the security gate but they are asking for your flat number to let me in. Could you tell security to allow me. Your order is getting cold.,delivery_call,0
"hello? this is an urgent call from your bank. your kyc documents have been rejected and all transactions will be stopped in one hour. to reactivate, click the link i sent by sms and fill your card details including cvv. if you delay, you will lose access to your money.",fake_kyc_update,1
